INSERT INTO alimentos (;,;);VALUES;(;;;;;;;
id_alimento;categoria;descricao;caloria;proteina;lipideo;carboidrato;fibra;sodio;;;
65;Verduras;Abóbora, cabotian, crua;38;1,7;0,5;8,4;2,2;Tr;;;
66;Verduras;Abóbora, menina brasileira, crua;13;0,6;Tr;3,3;1,2;Tr;;;
67;Verduras;Abóbora, moranga, crua;12;1;0,1;2,7;1,7;Tr;;;
68;Verduras;Abóbora, moranga, refogada;29;0,4;0,8;6;1,5;3;;;
69;Verduras;Abóbora, pescoço, crua;24;0,7;0,1;6,1;2,3;0;;;
70;Verduras;Abobrinha, italiana, cozida;15;1,1;0,2;3;1,6;0;;;
71;Verduras;Abobrinha, italiana, crua;19;1,1;0,1;4,3;1,4;Tr;;;
72;Verduras;Abobrinha, italiana, refogada;24;1,1;0,8;4,2;1,4;2;;;
73;Verduras;Abobrinha, paulista, crua;30;0,6;0,1;7,9;2,6;0;;;
74;Verduras;Acelga, crua;20;1,4;0,1;4,6;1,1;1;;;
75;Verduras;Agrião, cru;16;2,7;0,2;2,3;2,1;7;;;
76;Verduras;Aipo, cru;19;0,8;0,1;4,3;1;9;;;
77;Verduras;Alface, americana, crua;8;0,6;0,1;1,7;1;7;;;
78;Verduras;Alface, crespa, crua;10;1,3;0,2;1,7;1,8;3;;;
79;Verduras;Alface, lisa, crua;13;1,7;0,1;2,4;2,3;4;;;
80;Verduras;Alface, roxa, crua;12;0,9;0,2;2,5;2;7;;;
81;Verduras;Alfavaca, crua;29;2,7;0,5;5,2;4,1;4;;;
82;Verduras;Alho, cru;113;7;0,2;23,9;4,3;5;;;
83;Verduras;Alho-poró, cru;31;1,4;0,1;6,9;2,5;1;;;
84;Verduras;Almeirão, cru;18;1,8;0,2;3,3;2,6;2;;;
85;Verduras;Almeirão, refogado;65;1,7;4,8;5,7;3,4;14;;;
86;Verduras;Batata, baroa, cozida;80;0,9;0,2;18,9;1,8;2;;;
87;Verduras;Batata, baroa, crua;100;1;0,2;24;2,1;Tr;;;
88;Verduras;Batata, doce, cozida;76;0,6;0,1;18,4;2,2;2;;;
89;Verduras;Batata, doce, crua;118;1,3;0,1;28,2;2,6;8;;;
90;Verduras;Batata, frita, tipo chips, industrializada;542;5,6;36,6;51,2;2,5;607;;;
91;Verduras;Batata, inglesa, cozida;51;1,2;Tr;11,9;1,3;2;;;
92;Verduras;Batata, inglesa, crua;64;1,8;Tr;14,7;1,2;Tr;;;
93;Verduras;Batata, inglesa, frita;267;5;13,1;35,6;8,1;1;;;
94;Verduras;Batata, inglesa, sauté;67;1,3;0,9;14,1;1,4;8;;;
95;Verduras;Berinjela, cozida;18;0,7;0,1;4,5;2,5;1;;;
96;Verduras;Berinjela, crua;19;1,2;0,1;4,4;2,9;Tr;;;
97;Verduras;Beterraba, cozida;32;1,3;0,1;7,2;1,9;22;;;
98;Verduras;Beterraba, crua;48;1,9;0,1;11,1;3,4;9;;;
99;Verduras;Biscoito, polvilho doce;437;1,3;12,2;80,5;1,2;97;;;
100;Verduras;Brócolis, cozido;24;2,1;0,5;4,4;3,4;2;;;
101;Verduras;Brócolis, cru;25;3,6;0,3;4;2,9;3;;;
102;Verduras;Cará, cozido;77;1,5;0,1;18,9;2,6;1;;;
103;Verduras;Cará, cru;95;2,3;0,1;23;7,3;Tr;;;
104;Verduras;Caruru, cru;34;3,2;0,6;6;4,5;13;;;
105;Verduras;Catalonha, crua;23;1,9;0,3;4,8;2;9;;;
106;Verduras;Catalonha, refogada;63;1,9;4,8;4,8;3,6;24;;;
107;Verduras;Cebola, crua;39;1,7;0,1;8,9;2,2;0;;;
108;Verduras;Cebolinha, crua;19;1,9;0,3;3,4;3,5;1;;;
109;Verduras;Cenoura, cozida;29;0,8;0,2;6,7;2,6;7;;;
110;Verduras;Cenoura, crua;34;1,3;0,2;7,7;3,2;3;;;
111;Verduras;Chicória, crua;13;1,1;0,1;2,9;2,2;13;;;
112;Verduras;Chuchu, cozido;18;0,4;Tr;4,8;1;1;;;
113;Verduras;Chuchu, cru;16;0,7;0,1;4,1;1,3;Tr;;;
114;Verduras;Coentro, folhas desidratadas;309;20,9;10,4;48;37,3;18;;;
115;Verduras;Couve, manteiga, crua;27;2,9;0,5;4,3;3,1;6;;;
116;Verduras;Couve, manteiga, refogada ;90;1,7;6,6;8,7;5,7;11;;;
117;Verduras;Couve-flor, crua;22;1,9;0,2;4,5;2,4;3;;;
118;Verduras;Couve-flor, cozida;19;1,2;0,3;3,9;2,1;1;;;
119;Verduras;Espinafre, Nova Zelândia, cru;16;2;0,2;2,6;2,1;17;;;
120;Verduras;Espinafre, Nova Zelândia, refogado;67;2,7;5,4;4,2;2,5;47;;;
121;Verduras;Farinha, de mandioca, crua;360;1,6;0,3;87,9;6,4;1;;;
122;Verduras;Farinha, de mandioca, torrada;365;1,2;0,3;89,2;6,5;10;;;
123;Verduras;Farinha, de puba;360;1,6;0,5;87,3;4,2;3;;;
124;Verduras;Fécula, de mandioca;330;0,5;0,3;81,1;0,6;2;;;
125;Verduras;Feijão, broto, cru;38;4,2;0,1;7,8;2;1;;;
126;Verduras;Inhame, cru;96;2,1;0,2;23,2;1,7;Tr;;;
127;Verduras;Jiló, cru;27;1,4;0,2;6,2;4,8;Tr;;;
128;Verduras;Jurubeba, crua;125;4,4;3,9;23,1;23,9;0;;;
129;Verduras;Mandioca, cozida;125;0,6;0,3;30,1;1,6;0;;;
130;Verduras;Mandioca, crua;151;1,1;0,3;36,2;1,9;2;;;
131;Verduras;Mandioca, farofa, temperada;405;2,1;9,1;80,3;7,8;574;;;
132;Verduras;Mandioca, frita;300;1,4;11,2;50,3;1,9;8;;;
133;Verduras;Manjericão, cru;21;2;0,4;3,6;3,3;3;;;
134;Verduras;Maxixe, cru;13;1,4;0,1;2,7;2,2;10;;;
135;Verduras;Mostarda, folha, crua;18;2,1;0,2;3,2;1,9;2;;;
136;Verduras;Nhoque, batata, cozido;180;5,9;1,9;36,8;1,8;7;;;
137;Verduras;Nabo, cru;18;1,2;0,1;4,1;2,6;2;;;
138;Verduras;Palmito, juçara, em conserva;23;1,8;0,4;4,3;3,1;513;;;
139;Verduras;Palmito, pupunha, em conserva;29;2,5;0,5;5,5;2,5;562;;;
140;Verduras;Pão, de queijo, assado;363;5,1;24,6;34,2;0,6;773;;;
141;Verduras;Pão, de queijo, cru;294;3,6;14;38,5;1;404;;;
142;Verduras;Pepino, cru;9;0,9;Tr;2;1,1;Tr;;;
143;Verduras;Pimentão, amarelo, cru;27;1,2;0,4;6;1,9;Tr;;;
144;Verduras;Pimentão, verde, cru;21;1,1;0,1;4,9;2,6;Tr;;;
145;Verduras;Pimentão, vermelho, cru;23;1;0,1;5,5;1,6;Tr;;;
146;Verduras;Polvilho, doce;351;0,4;Tr;86,8;0,2;1;;;
147;Verduras;Quiabo, cru;29;1,9;0,3;6,4;4,6;0;;;
148;Verduras;Rabanete, cru;13;1,4;0,1;2,7;2,2;10;;;
149;Verduras;Repolho, branco, cru;17;0,9;0,1;3,9;1,9;3;;;
150;Verduras;Repolho, roxo, cru;30;1,9;0,1;7,2;2;2;;;
151;Verduras;Repolho, roxo, refogado;41;1,8;1,2;7,6;1,8;3;;;
152;Verduras;Rúcula, crua;13;1,8;0,1;2,2;1,7;9;;;
153;Verduras;Salsa, crua;33;3,3;0,6;5,7;1,9;2;;;
154;Verduras;Seleta de legumes, enlatada;56;3,4;0,4;12,7;3,1;398;;;
155;Verduras;Serralha, crua;30;2,7;0,7;4,9;3,5;19;;;
156;Verduras;Taioba, crua;34;2,9;0,9;5,4;4,5;1;;;
157;Verduras;Tomate, com semente, cru;15;1,1;0,2;3,1;1,2;1;;;
158;Verduras;Tomate, extrato;60;2,4;0,2;15;2,8;497;;;
159;Verduras;Tomate, molho industrializado;38;1,4;0,9;7,7;3,1;418;;;
160;Verduras;Tomate, purê;27;1,4;Tr;6,9;1;103;;;
161;Verduras;Tomate, salada;20;0,8;Tr;5,1;2,3;5;;;
162;Verduras;Vagem, crua;24;1,8;0,2;5,3;2,4;Tr;;;
163;Frutas e derivados;Abacate, cru;96;1,2;8,4;6;6,3;Tr;;;
164;Frutas e derivados;Abacaxi, cru;48;0,9;0,1;12,3;1;Tr;;;
165;Frutas e derivados;Abacaxi, polpa, congelada;30;0,5;0,1;7,8;0,3;1;;;
166;Frutas e derivados;Abiu, cru;62;0,8;0,7;14,9;1,7;Tr;;;
167;Frutas e derivados;Açaí, polpa, com xarope de guaraná e glucose;110;0,7;3,7;21,5;1,7;15;;;
168;Frutas e derivados;Açaí, polpa, congelada;58;0,8;3,9;6,2;2,6;5;;;
169;Frutas e derivados;Acerola, crua;33;0,9;0,2;8;1,5;Tr;;;
170;Frutas e derivados;Acerola, polpa, congelada;21;0,6;Tr;5,5;0,7;1;;;
171;Frutas e derivados;Ameixa, calda, enlatada ;182;0,4;Tr;46,9;0,5;2;;;
172;Frutas e derivados;Ameixa, crua;52;0,8;Tr;13,9;2,4;Tr;;;
173;Frutas e derivados;Ameixa, em calda, enlatada, drenada ;177;1;0,3;47,7;4,5;2;;;
174;Frutas e derivados;Atemóia, crua;96;1;0,3;25,3;2,1;0;;;
175;Frutas e derivados;Banana, da terra, crua;128;1,4;0,2;33,7;1,5;Tr;;;
176;Frutas e derivados;Banana, doce em barra;280;2,2;0,1;75,7;3,8;9;;;
177;Frutas e derivados;Banana, figo, crua;105;1,1;0,1;27,8;2,8;Tr;;;
178;Frutas e derivados;Banana, maçã, crua;86;1,8;0,1;22,3;2,6;Tr;;;
179;Frutas e derivados;Banana, nanica, crua;91;1,4;0,1;23,8;1,9;Tr;;;
180;Frutas e derivados;Banana, ouro, crua;112;1,5;0,2;29,3;2;Tr;;;
181;Frutas e derivados;Banana, pacova, crua;77;1,2;0,1;20,3;2;0;;;
182;Frutas e derivados;Banana, prata, crua;98;1,3;0,1;26;2;Tr;;;
183;Frutas e derivados;Cacau, cru;74;1;0,1;19,4;2,2;0;;;
184;Frutas e derivados;Cajá-Manga, cru;45;1,3;Tr;11,4;2,6;1;;;
185;Frutas e derivados;Cajá, polpa, congelada;26;0,6;0,2;6,4;1,4;6;;;
186;Frutas e derivados;Caju, cru;43;1;0,3;10,3;1,7;2;;;
187;Frutas e derivados;Caju, polpa, congelada;36;0,5;0,2;9,4;0,8;4;;;
188;Frutas e derivados;Caju, suco concentrado, envasado;45;0,4;0,2;10,7;0,6;45;;;
189;Frutas e derivados;Caqui, chocolate, cru;71;0,4;0,1;19,3;6,5;2;;;
190;Frutas e derivados;Carambola, crua;45;0,9;0,2;11,5;2;4;;;
191;Frutas e derivados;Ciriguela, crua;75;1,4;0,4;18,9;3,9;1;;;
192;Frutas e derivados;Cupuaçu, cru;49;1,2;1;10,4;3,1;3;;;
193;Frutas e derivados;Cupuaçu, polpa, congelada;48;0,8;0,6;11,4;1,6;0;;;
194;Frutas e derivados;Figo, cru;41;1;0,2;10,2;1,8;Tr;;;
195;Frutas e derivados;Figo, enlatado, em calda;184;0,6;0,1;50,3;2;6;;;
196;Frutas e derivados;Fruta-pão, crua;67;1,1;0,2;17,2;5,5;0;;;
197;Frutas e derivados;Goiaba, branca, com casca, crua;51;0,9;0,5;12,4;6,3;Tr;;;
198;Frutas e derivados;Goiaba, doce em pasta;268;0,6;0;74,1;3,7;3;;;
199;Frutas e derivados;Goiaba, doce, cascão;285;0,4;0,1;78,7;4,4;11;;;
200;Frutas e derivados;Goiaba, vermelha, com casca, crua;54;1,1;0,4;13;6,2;Tr;;;
201;Frutas e derivados;Graviola, crua;61;0,8;0,2;15,8;1,9;4;;;
202;Frutas e derivados;Graviola, polpa, congelada;38;0,6;0,1;9,8;1,2;3;;;
203;Frutas e derivados;Jabuticaba, crua;58;0,6;0,1;15,3;2,3;Tr;;;
204;Frutas e derivados;Jaca, crua;87;1,4;0,3;22,5;2,4;1;;;
205;Frutas e derivados;Jambo, cru;26;0,9;0,1;6,5;5,1;21;;;
206;Frutas e derivados;Jamelão, cru;41;0,5;0,1;10,6;1,8;1;;;
207;Frutas e derivados;Kiwi, cru;51;1,3;0,6;11,5;2,7;Tr;;;
208;Frutas e derivados;Laranja, baía, crua;45;1;0,1;11,5;1,1;Tr;;;
209;Frutas e derivados;Laranja, baía, suco;36;0,7;Tr;8,7;Tr;Tr;;;
210;Frutas e derivados;Laranja, da terra, crua;51;1,1;0,2;12,9;4;0;;;
211;Frutas e derivados;Laranja, da terra, suco;40;0,7;0,1;9,6;1;Tr;;;
212;Frutas e derivados;Laranja, lima, crua;45;1,1;0,1;11,5;1,8;1;;;
213;Frutas e derivados;Laranja, lima, suco;39;0,7;0,1;9,2;0,4;Tr;;;
214;Frutas e derivados;Laranja, pêra, crua;36;1;0,1;8,9;0,8;Tr;;;
215;Frutas e derivados;Laranja, pêra, suco;32;0,7;0,1;7,6;Tr;Tr;;;
216;Frutas e derivados;Laranja, valência, crua;46;0,8;0,2;11,7;1,7;0;;;
217;Frutas e derivados;Laranja, valência, suco;36;0,5;0,1;8,6;0,4;Tr;;;
218;Frutas e derivados;Limão, cravo, suco;14;0,3;Tr;5,2;Tr;Tr;;;
219;Frutas e derivados;Limão, galego, suco;22;0,6;0,1;7,3;Tr;Tr;;;
220;Frutas e derivados;Limão, tahiti, cru;31;0,9;0,1;11,1;1,2;1;;;
221;Frutas e derivados;Maçã, Argentina, com casca, crua;62;0,2;0,2;16,6;2;1;;;
222;Frutas e derivados;Maçã, Fuji, com casca, crua;55;0,3;Tr;15,2;1,3;Tr;;;
223;Frutas e derivados;Macaúba, crua;404;2,1;40,7;13,9;13,4;0;;;
224;Frutas e derivados; Mamão, doce em calda, drenado;195;0,2;0,1;54;1,3;2;;;
225;Frutas e derivados;Mamão, Formosa, cru;45;0,8;0,1;11,6;1,8;3;;;
226;Frutas e derivados;Mamão, Papaia, cru;40;0,5;0,1;10,4;1;1;;;
227;Frutas e derivados; Mamão verde, doce em calda, drenado;209;0,3;0,1;57,6;1,2;4;;;
228;Frutas e derivados;Manga, Haden, crua;63;0,4;0,3;16,7;1,6;0;;;
229;Frutas e derivados;Manga, Palmer, crua;72;0,4;0,2;19,4;1,6;1;;;
230;Frutas e derivados;Manga, polpa, congelada;48;0,4;0,2;12,5;1,1;6;;;
231;Frutas e derivados;Manga, Tommy Atkins, crua;50;0,9;0,2;12,8;2,1;Tr;;;
232;Frutas e derivados;Maracujá, cru;68;2;2,1;12,3;1,1;1;;;
233;Frutas e derivados;Maracujá, polpa, congelada;38;0,8;0,2;9,6;0,5;8;;;
234;Frutas e derivados;Maracujá, suco concentrado, envasado;41;0,8;0,2;9,6;0,4;21;;;
235;Frutas e derivados;Melancia, crua;32;0,9;Tr;8,1;0,1;Tr;;;
236;Frutas e derivados;Melão, cru;29;0,7;Tr;7,5;0,2;11;;;
237;Frutas e derivados;Mexerica, Murcote, crua;57;0,9;0,1;14,9;3,1;1;;;
238;Frutas e derivados;Mexerica, Rio, crua;36;0,7;0,1;9,3;2,7;1;;;
239;Frutas e derivados;Morango, cru;30;0,9;0,3;6,8;1,7;Tr;;;
240;Frutas e derivados;Nêspera, crua;42;0,3;Tr;11,5;3;Tr;;;
241;Frutas e derivados;Pequi, cru;204;2,3;18;13;19;Tr;;;
242;Frutas e derivados;Pêra, Park, crua;60;0,2;0,2;16,1;3;0;;;
243;Frutas e derivados;Pêra, Williams, crua;53;0,6;0,1;14;3;Tr;;;
244;Frutas e derivados;Pêssego, Aurora, cru;36;0,8;Tr;9,3;1,4;Tr;;;
245;Frutas e derivados;Pêssego, enlatado, em calda;63;0,7;Tr;16,9;1;3;;;
246;Frutas e derivados;Pinha, crua;88;1,5;0,3;22,4;3,4;1;;;
247;Frutas e derivados;Pitanga, crua;41;0,9;0,2;10,2;3,2;1;;;
248;Frutas e derivados;Pitanga, polpa, congelada;19;0,3;0,1;4,8;0,7;5;;;
249;Frutas e derivados;Romã, crua;55;0,4;Tr;15,1;0,4;0;;;
250;Frutas e derivados;Tamarindo, cru;275;3,2;0,5;72,5;6,4;0;;;
251;Frutas e derivados;Tangerina, Poncã, crua;37;0,8;0,1;9,6;0,9;Tr;;;
252;Frutas e derivados;Tangerina, Poncã, suco;36;0,5;Tr;8,8;Tr;Tr;;;
253;Frutas e derivados;Tucumã, cru;262;2,1;19,1;26,5;12,7;3;;;
254;Frutas e derivados;Umbu, cru;37;0,8;Tr;9,4;2;Tr;;;
255;Frutas e derivados;Umbu, polpa, congelada;33;0,5;0,1;8,8;1,3;5;;;
256;Frutas e derivados;Uva, Itália, crua;52;0,7;0,2;13,6;0,9;Tr;;;
257;Frutas e derivados;Uva, Rubi, crua;49;0,6;0,2;12,7;0,9;7;;;
258;Frutas e derivados;Uva, suco concentrado, envasado;57;Tr;Tr;14,7;0,2;9;;;
259;Gorduras e óleos;Azeite, de dendê;884;NA;100;NA;NA;;;;
260;Gorduras e óleos;Azeite, de oliva, extra virgem;884;NA;100;NA;NA;;;;
261;Gorduras e óleos;Manteiga, com sal;725;0,4;82,4;0,1;NA;578;;;
262;Gorduras e óleos;Manteiga, sem sal;757;0,4;86;0;NA;3;;;
263;Gorduras e óleos;Margarina, com óleo hidrogenado, com sal (65% de lipídeos);596;Tr;67,4;0;NA;894;;;
264;Gorduras e óleos;Margarina, com óleo hidrogenado, sem sal (80% de lipídeos);722;Tr;81,7;0;NA;77;;;
265;Gorduras e óleos;Margarina, com óleo interesterificado, com sal (65%de lipídeos);594;Tr;67,2;0;NA;560;;;
266;Gorduras e óleos;Margarina, com óleo interesterificado, sem sal (65% de lipídeos);593;Tr;67,1;0;NA;33;;;
267;Gorduras e óleos;Óleo, de babaçu;884;NA;100;NA;NA;;;;
268;Gorduras e óleos;Óleo, de canola;884;NA;100;NA;NA;;;;
269;Gorduras e óleos;Óleo, de girassol;884;NA;100;NA;NA;;;;
270;Gorduras e óleos;Óleo, de milho;884;NA;100;NA;NA;;;;
271;Gorduras e óleos;Óleo, de pequi;884;NA;100;NA;NA;;;;
272;Gorduras e óleos;Óleo, de soja;884;NA;100;NA;NA;;;;
273;Pescados e frutos do mar;Abadejo, filé, congelado, assado;111;23,5;1,2;0;NA;334;;;
274;Pescados e frutos do mar;Abadejo, filé, congelado,cozido;91;19,3;0,9;0;NA;189;;;
275;Pescados e frutos do mar;Abadejo, filé, congelado, cru;59;13,1;0,4;0;NA;78;;;
276;Pescados e frutos do mar;Abadejo, filé, congelado, grelhado;129;27,6;1,3;0;NA;305;;;
277;Pescados e frutos do mar;Atum, conserva em óleo;165;26,2;6;0;NA;362;;;
278;Pescados e frutos do mar;Atum, fresco, cru;117;25,7;0,9;0;NA;30;;;
279;Pescados e frutos do mar;Bacalhau, salgado, cru;135;29;1,3;0;NA;13585;;;
280;Pescados e frutos do mar;Bacalhau, salgado, refogado;139;24;3,6;1,2;*;1256;;;
281;Pescados e frutos do mar;Cação, posta, com farinha de trigo, frita;208;25;10;3,1;0,5;160;;;
282;Pescados e frutos do mar;Cação, posta, cozida;116;25,6;0,7;0;NA;114;;;
283;Pescados e frutos do mar;Cação, posta, crua;83;17,9;0,8;0;NA;176;;;
284;Pescados e frutos do mar;Camarão, Rio Grande, grande, cozido;90;19;1;0;NA;366;;;
285;Pescados e frutos do mar;Camarão, Rio Grande, grande, cru;47;10;0,5;0;NA;201;;;
286;Pescados e frutos do mar;Camarão, Sete Barbas, sem cabeça, com casca, frito;231;18,4;15,6;2,9;NA;99;;;
287;Pescados e frutos do mar;Caranguejo, cozido;82;18,5;0,4;0;NA;360;;;
288;Pescados e frutos do mar;Corimba, cru;128;17,4;6;0;NA;47;;;
289;Pescados e frutos do mar;Corimbatá, assado;261;19,9;19,6;0;NA;40;;;
290;Pescados e frutos do mar;Corimbatá, cozido;238;20,1;16,9;0;NA;37;;;
291;Pescados e frutos do mar;Corvina de água doce, crua;101;18,9;2,2;0;NA;45;;;
292;Pescados e frutos do mar;Corvina do mar, crua;94;18,6;1,6;0;NA;67;;;
293;Pescados e frutos do mar;Corvina grande, assada;146;26,8;3,6;0;NA;85;;;
294;Pescados e frutos do mar;Corvina grande, cozida;100;23,4;2,6;0;NA;68;;;
295;Pescados e frutos do mar;Dourada de água doce, fresca;131;18,8;5,6;0;NA;40;;;
296;Pescados e frutos do mar;Lambari, congelado, cru;130;16,8;6,5;0;NA;47;;;
297;Pescados e frutos do mar;Lambari, congelado, frito;326;28,4;22,8;0;NA;64;;;
298;Pescados e frutos do mar;Lambari, fresco, cru;151;15,7;9,4;0;NA;41;;;
299;Pescados e frutos do mar;Manjuba, com farinha de trigo, frita;343;23,4;22,6;10,2;0,4;36;;;
300;Pescados e frutos do mar;Manjuba, frita;349;30,1;24,5;0;NA;40;;;
301;Pescados e frutos do mar;Merluza, filé, assado;121;26,6;0,9;0;NA;119;;;
302;Pescados e frutos do mar;Merluza, filé, cru;89;16,6;2;0;NA;79;;;
303;Pescados e frutos do mar;Merluza, filé, frito;191;26,9;8,5;0;NA;89;;;
304;Pescados e frutos do mar;Pescada, branca, crua;110;16,3;4,6;0;NA;76;;;
305;Pescados e frutos do mar;Pescada, branca, frita;223;27,4;11,8;0;NA;107;;;
306;Pescados e frutos do mar;Pescada, filé, com farinha de trigo, frito;283;21,4;19,1;5;Tr;90;;;
307;Pescados e frutos do mar;Pescada, filé, cru;107;16,6;4;0;NA;77;;;
308;Pescados e frutos do mar;Pescada, filé, frito;154;28,6;3,6;0;NA;114;;;
